Date,FF,FG,Lab,SF,Ind/Oth (incl Greens)
19/05/2006,36,25,13,8,17
12/10/2006,44,23,10,7,16
30/11/2006,46,24,10,6,14
01/02/2007,43,23,10,8,16
26/04/2007,39,28,9,10,14
10/05/2007,41,25,12,9,13
20/05/2007,46,24,9,9,12
24/05/2007,42,27,10,7,14
31/10/2007,38,28,13,8,13
23/01/2008,47,24,13,7,10
15/05/2008,47,20,13,9,11
04/06/2008,32,32,13,9,14
13/11/2008,26,30,22,10,12
12/02/2009,24,36,18,10,12
15/05/2009,23,34,21,10,12
02/09/2009,20,33,22,11,14
25/09/2009,23,29,23,11,14
20/01/2010,26,30,22,9,13
10/06/2010,21,27,29,10,13
29/09/2010,24,24,33,8,11
15/12/2010,17,30,25,15,13
02/02/2011,15,33,24,12,16
19/02/2011,16,37,19,11,17
25/02/2011,17,36,19,10,17
19/07/2011,18,38,18,10,16
05/10/2011,16,35,17,18,14
22/10/2011,15,36,19,15,15
18/04/2012,14,33,13,21,19
25/05/2012,17,32,10,24,17
17/10/2012,21,31,12,20,16
06/02/2013,26,25,10,18,21
12/06/2013,26,24,9,21,20
29/09/2013,22,26,6,23,23
11/12/2013,22,30,9,21,18
03/04/2014,25,25,8,21,21
18/05/2014,25,24,7,20,24
08/10/2014,20,24,9,24,23
03/12/2014,21,19,6,22,32
25/03/2015,17,24,7,24,28
14/05/2015,20,28,7,21,24
22/09/2015,20,28,8,19,25
25/11/2015,19,30,7,21,23
03/02/2016,21,28,7,19,25
20/02/2016,23,28,6,15,28
07/07/2016,33,24,5,16,22
06/10/2016,26,26,5,19,24
08/12/2016,30,27,6,17,20
02/03/2017,29,28,4,21,18
26/05/2017,27,30,5,20,17
05/10/2017,29,31,4,19,17
07/12/2017,25,36,4,19,16
25/01/2018,25,34,4,19,18
19/04/2018,26,31,5,22,16
16/10/2018,25,33,4,24,14
07/03/2019,24,30,6,21,20
10/05/2019,26,29,7,16,22
15/10/2019,25,29,6,14,26
21/01/2020,25,23,5,21,26
04/02/2020,23,20,4,25,28