state,abbr,population,ev,gore,bush,biden,trump,,wtden,white1990,white2010,white2030,wwc2018,college,demo_change,dem_change
United States,USA,308776138,538,48.4,47.9,51.3,46.9,,5370,75.6,63.7,51.8,41.1,30.9,-11.9,2.9
Wyoming,WY,563626,3,27.7,67.8,26.6,69.9,51,998.5,91.0,85.9,65.5,61.7,26.7,-5.1,-1.2
West Virginia,WV,1852994,5,45.6,51.9,29.7,68.6,50,792.1,95.8,93.2,82.8,73.6,19.9,-2.6,-15.9
North Dakota,ND,672591,3,33.1,60.7,31.8,65.1,47,1569.1,94.2,88.9,67.7,60.1,28.9,-5.3,-1.3
Oklahoma,OK,3751351,7,38.4,60.3,32.3,65.4,49,1602.3,81.0,68.7,19.5,51.1,24.8,-12.3,-6.1
Idaho,ID,1567582,4,27.6,67.2,33.1,63.8,48,1488.8,92.2,84.0,51.2,60.2,26.8,-8.2,5.4
Arkansas,AR,2915918,6,45.9,51.3,34.8,62.4,43,807.9,82.2,74.5,43.7,57.1,22.0,-7.7,-11.1
South Dakota,SD,814180,3,37.6,60.3,35.6,61.8,44,1045.9,91.2,84.7,58.7,59.2,27.8,-6.5,-2.0
Kentucky,KY,4339367,8,41.4,56.5,36.2,62.1,46,1464.2,91.7,86.3,64.7,65.2,23.2,-5.4,-5.2
Alabama,AL,4779736,9,41.6,56.5,36.6,62.0,45,942.2,73.3,67.0,41.8,49.3,24.5,-6.3,-5.0
Tennessee,TN,6346105,11,47.3,51.2,37.5,60.7,41,1288.4,82.6,75.6,47.6,55.1,26.1,-7.0,-9.8
Utah,UT,2763885,6,26.3,66.8,37.7,58.1,40,3429.9,91.2,80.4,37.2,50.4,32.5,-10.8,11.3
Nebraska,NE,1826341,5,33.3,62.3,39.2,58.2,42,2285.2,92.5,82.1,40.5,54.3,30.6,-10.4,5.9
Louisiana,LA,4533372,8,44.9,52.6,39.9,58.5,39,1931.2,65.8,60.3,38.3,44.4,23.4,-5.5,-5.0
Montana,MT,989415,3,33.4,58.4,40.6,56.9,37,1088.3,91.8,87.8,71.8,59.7,30.7,-4.0,7.2
Indiana,IN,6483802,11,41.0,56.7,41.0,57.0,36,1740,89.6,81.5,49.1,59.3,25.3,-8.1,-0.1
Mississippi,MS,2967297,6,40.7,57.6,41.1,57.6,38,694.9,63.1,58.0,37.6,43.9,21.3,-5.1,0.4
Missouri,MO,5988927,10,47.1,50.4,41.4,56.8,34,1895.7,86.9,81.0,57.4,57.2,28.2,-5.9,-5.7
Kansas,KS,2853118,6,37.2,58.0,41.6,56.2,35,1772.6,88.4,78.2,37.4,50.8,32.3,-10.2,4.3
Alaska,AK,710231,3,27.7,58.6,42.8,52.8,32,1834.1,73.9,64.1,24.9,41.7,29.0,-9.8,15.1
South Carolina,SC,4625364,9,40.9,56.8,43.4,55.1,33,1018.7,68.5,64.1,46.5,45.0,27.0,-4.4,2.5
Iowa,IA,3046355,6,48.5,48.2,44.9,53.1,30,1463.1,95.9,88.7,59.9,62.7,27.7,-7.2,-3.7
Ohio,OH,11536504,18,46.5,50.0,45.2,53.3,28,2388.8,87.1,81.1,57.1,57.1,27.2,-6.0,-1.2
Texas,TX,25145561,38,38.0,59.3,46.5,52.1,31,3138.6,60.6,45.3,-15.9,28.3,28.7,-15.3,8.5
Florida,FL,18801310,29,48.8,48.9,47.9,51.2,25,3750.6,73.2,57.9,-3.3,38.2,28.5,-15.3,-1.0
North Carolina,NC,9535483,15,43.2,56.0,48.6,49.9,27,1181.9,75.0,65.3,26.5,43.1,29.9,-9.7,5.4
Arizona,AZ,6392017,11,44.7,51.0,49.4,49.1,26,3582.5,71.7,57.8,2.2,39.2,28.4,-13.9,4.6
Wisconsin,WI,5686986,10,47.8,47.6,49.5,48.8,23,2598.5,91.3,83.3,51.3,58.3,29.0,-8.0,1.6
Georgia,GA,9687653,16,43.0,54.7,49.5,49.2,29,1550.9,70.1,55.9,-0.9,36.2,29.9,-14.2,6.5
Pennsylvania,PA,12702379,20,50.6,46.4,50.0,48.8,24,4886.8,87.7,79.5,46.7,53.2,30.1,-8.2,-0.6
Nevada,NV,2700551,6,46.0,49.5,50.1,47.7,22,5419.5,78.7,54.1,-44.3,38.2,23.7,-24.6,4.1
Michigan,MI,9883640,16,51.3,46.2,50.6,47.8,21,2527.3,82.3,76.6,53.8,54.2,28.1,-5.7,-0.7
Minnesota,MN,5303925,10,47.9,45.5,52.4,45.3,20,2416.5,93.7,83.1,40.7,51.8,34.8,-10.6,4.5
New Hampshire,NH,1316470,4,46.8,48.1,52.7,45.4,19,1320.9,97.3,92.3,72.3,57.9,36.0,-5.0,5.9
Maine,ME,1328361,4,49.1,44.0,53.1,44.0,17,881.7,98.0,94.4,80.0,64.6,30.3,-3.6,4.0
Virginia,VA,8001024,13,44.4,52.5,54.1,44.0,16,3249.6,76.0,64.8,20.0,36.9,37.6,-11.2,9.7
New Mexico,NM,2059179,5,47.9,47.9,54.3,43.5,15,2108.8,50.4,40.5,0.9,24.8,26.9,-9.9,6.4
Colorado,CO,5029196,9,42.4,50.8,55.4,41.9,18,3500,80.7,70.0,27.2,37.8,39.4,-10.7,13.0
Oregon,OR,3831074,7,47.0,46.5,56.5,40.4,14,3113.8,90.8,78.5,29.3,51.3,32.3,-12.3,9.5
New Jersey,NJ,8791894,14,56.1,40.3,57.3,41.4,13,7940.6,74.0,59.3,0.5,32.0,38.1,-14.7,1.2
Illinois,IL,12830632,20,54.6,42.6,57.5,40.6,12,6660.8,74.8,63.7,19.3,39.5,33.4,-11.1,2.9
Washington,WA,6724540,12,50.2,44.6,58.0,38.8,10,3344.8,86.7,72.5,15.7,45.1,34.5,-14.2,7.8
Delaware,DE,897934,3,55.0,41.9,58.7,39.8,9,2643.5,79.3,65.3,9.3,44.0,31.0,-14.0,3.8
Connecticut,CT,3574097,7,55.9,38.4,59.2,39.2,11,3583,83.8,71.2,20.8,39.3,38.4,-12.6,3.3
Rhode Island,RI,1052567,4,61.0,31.9,59.4,38.6,8,5034,89.3,76.4,24.8,47.6,33.0,-12.9,-1.6
New York,NY,19378102,29,60.2,35.2,60.9,37.8,7,28161.5,69.3,58.3,14.3,32.8,35.3,-11.0,0.7
California,CA,37253956,55,53.5,41.7,63.5,34.3,6,8213,57.2,40.1,-28.3,23.1,32.6,-17.1,10.0
Hawaii,HI,1360301,4,55.8,37.5,63.7,34.3,3,8479.7,31.4,22.7,-12.1,13.2,32.0,-8.7,7.9
Maryland,MD,5773552,10,56.6,40.2,65.4,32.2,5,4555,69.6,54.7,-4.9,28.9,39.0,-14.9,8.8
Massachusetts,MA,6547629,11,59.8,32.5,65.6,32.1,2,6585.6,87.8,76.1,29.3,39.3,42.1,-11.7,5.8
Vermont,VT,625741,3,50.6,40.7,66.1,30.7,4,947.2,98.1,94.3,79.1,58.2,36.8,-3.8,15.5
District of Columbia,DC,632323,3,85.2,9.0,92.2,5.4,1,17442,27.4,34.8,64.4,3.0,56.6,7.4,7.0